City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
117,Hobyo,SO,5.3505,48.5268,75.49,79,83,24.45,broken clouds
118,San Pedro,PH,14.35,121.0167,79.36,93,100,13.27,light rain
119,Aklavik,CA,68.2191,-135.0107,63.93,46,52,7.05,broken clouds
120,Itapipoca,BR,-3.4944,-39.5786,74.57,83,16,7.94,few clouds
121,Kargil,IN,34.5667,76.1,58.08,48,87,4.21,overcast clouds
122,Nieves,PH,15.3274,120.9485,80.11,92,100,7.54,overcast clouds
123,Kaa-Khem,RU,51.6833,94.7333,55.8,86,81,6.91,broken clouds
124,Avarua,CK,-21.2078,-159.775,78.85,78,20,10.36,few clouds
125,Jamestown,US,42.097,-79.2353,73.04,54,0,4.61,clear sky
126,Makakilo City,US,21.3469,-158.0858,88.12,47,20,12.66,few clouds
127,Kavieng,PG,-2.5744,150.7967,85.12,62,98,14.94,overcast clouds
128,Kyabe,TD,9.4515,18.9449,70.84,98,100,3.04,overcast clouds
129,La Paz,BO,-16.5,-68.15,46.38,75,75,10.36,broken clouds
130,Souillac,MU,-20.5167,57.5167,68.13,71,4,12.06,clear sky
131,Pisco,PE,-13.7,-76.2167,60.85,82,100,11.5,overcast clouds
132,Upata,VE,8.0086,-62.3989,77.2,93,99,2.57,overcast clouds
133,Klaksvik,FO,62.2266,-6.589,58.12,96,53,17.63,broken clouds
134,Faanui,PF,-16.4833,-151.75,78.6,69,0,18.66,clear sky
135,Brunswick,US,41.2381,-81.8418,79.02,69,75,4.61,broken clouds
136,Severobaykalsk,RU,55.65,109.3167,47.93,98,100,4.14,moderate rain
137,Batagay-Alyta,RU,67.8006,130.4114,33.8,95,100,10.11,light snow
138,Cherdyn,RU,60.403,56.4787,42.49,96,86,7.72,overcast clouds
139,Bad Worishofen,DE,48.0167,10.6,59.4,76,100,1.99,overcast clouds
140,Dwarka,IN,22.2394,68.9678,80.73,81,62,9.22,broken clouds
141,Severnyy,RU,50.677,36.5532,48.24,66,0,4.47,clear sky
142,Saint-Philippe,RE,-21.3585,55.7679,62.19,83,84,11.56,broken clouds
143,Clyde River,CA,70.4692,-68.5914,39.43,93,75,3.44,broken clouds
144,Bethel,US,41.3712,-73.414,70.56,64,33,3.85,scattered clouds
145,Lamar,US,33.6668,-95.5836,84.36,72,0,11.5,clear sky
146,Bati,ET,11.1833,40.0167,66.0,69,42,6.73,light rain
147,Mamou,GN,10.5,-12.0,67.05,99,99,2.68,overcast clouds
148,Watertown,US,42.3709,-71.1828,66.85,69,0,9.22,clear sky
149,Nikolskoye,RU,59.7035,30.7861,44.87,90,80,4.79,broken clouds
150,Dolores,AR,-36.3132,-57.6792,41.31,62,0,6.51,clear sky
151,Bhalki,IN,18.0333,77.2167,73.35,90,34,5.12,scattered clouds
152,Geraldton,AU,-28.7667,114.6,59.41,88,100,13.8,overcast clouds
153,Limbang,MY,4.75,115.0,78.91,93,100,3.18,overcast clouds
154,Dukat,RU,62.55,155.55,55.85,56,53,10.16,broken clouds
155,Lermontovka,RU,47.1453,134.3383,65.14,63,2,7.74,clear sky
156,Taltal,CL,-25.4,-70.4833,61.99,55,15,6.11,few clouds
157,Melville,US,40.7934,-73.4151,71.62,71,0,5.75,clear sky
158,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,59,20,4.47,few clouds
